model,split,n,speed_mae,speed_rmse,speed_bias,integrated_distance,mean_position_error,position_rmse,final_position_error,final_along_track_error,final_cross_track_error,drift_percent,gate_center,gate_temperature
Raw CNN,Clean Train,7419,14.46080347054859,17.269139344226225,-10.622441123062407,,,,,,,,,
Exp 1 Linear,Clean Train,7419,10.867268693783753,13.5568416541673,-9.807194519724257e-15,,,,,,,,,
Exp 3 Isotonic,Clean Train,7419,8.872624485154915,11.095127111324887,9.01035996499666e-15,,,,,,,,,
Model D Soft Gate,Clean Train,7419,10.410148082671745,12.774305384840396,-1.4531669112604395,,,,,,,,70.0,2.0
Raw CNN,Validation,1718,13.029085303841676,15.98868095482154,9.800247448195575,,,,,,,,,
Exp 1 Linear,Validation,1718,20.70741292673611,23.866765678830024,20.123339088968223,,,,,,,,,
Exp 3 Isotonic,Validation,1718,19.231078454612618,22.504977936870127,18.256423402364877,,,,,,,,,
Model D Soft Gate,Validation,1718,19.613465249124403,22.399277764350437,18.973350864449994,,,,,,,,70.0,2.0
Raw CNN,Test,1720,30.585955101744183,34.816039227675454,30.474573123837214,,,,,,,,,
Exp 1 Linear,Test,1720,40.67281757192031,44.5681654337993,40.67281757192031,,,,,,,,,
Exp 3 Isotonic,Test,1720,32.74026048813364,36.981736950221965,32.235404626509045,,,,,,,,,
Model D Soft Gate,Test,1720,36.948111654106604,38.88995194614838,36.948111654106604,,,,,,,,70.0,2.0
Raw CNN,Outage,600,15.891876525,17.133024070094077,-14.897594301666668,914.1634838611111,88.36939091399387,111.3125810869061,217.67106973028126,-215.95004223566642,-27.318013396637227,18.724393095077957,,
Exp 1 Linear,Outage,600,8.52125744164721,10.335115288465834,-4.616897136103212,1085.508436620502,33.90901706179021,36.98101292966766,52.80251245424236,-44.72072754650721,-28.07422036658348,4.542151608967085,,
Exp 3 Isotonic,Outage,600,7.171673654998362,9.121601265247012,-2.063537289361781,1128.0644340661925,36.256415320693016,39.98446865260679,27.95305945865329,-1.1577265829156325,-27.92907449698641,2.40456425450781,,
Model D Soft Gate,Outage,600,7.666601548411095,9.044463807783162,-5.460465546251194,1071.4489631180359,35.349277042607746,38.24890755736348,65.09160679447702,-58.94316210865149,-27.615591895160183,5.5992780038259795,70.0,2.0
